,id,time,link,message,like,share,comment,commentsHighlight
185,1282973728458676_2088552711234103,1552561201,https://www.facebook.com/CH3Thailand/videos/294672681227473/,"""น้ำพริกนรกอเวจี!!!"" สงสารพ่อทองเอกพ่อบ้านใจกล้าแห่งท่าโฉลง 😆😆 รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",17379,565,102,"                                                  id        time  \
0  Y29tbWVudDoyMDg4NTUyNzExMjM0MTAzXzIwOTExNzQzOT...  1552716252   
1  Y29tbWVudDoyMDg4NTUyNzExMjM0MTAzXzIwOTE5NjU1Nz...  1552762728   

                                             message  like  
0  14ตอนมันก็เหมือนละครอื่นๆนะ แต่ทำไมข้ารู้สึกเห...    29  
1  ลำคาญโฆษณา...มึงรู้มั้ยตอนกูฟินๆอยู่เนี่ยมึงมา...    18  "
186,1282973728458676_2088549521234422,1552558823,https://www.facebook.com/CH3Thailand/videos/334192197201236/,"ภารกิจ ""follow you 1 วัน"" #เช็คอินกินเที่ยว มาต่อกันที่คู่ของ เค้ก นัทธวัชร์ และนิ้ง ศรัณยา พระเอกและนางเอกจากซีรีส์ลูกผู้ชาย ตอน ปัทม์ EP.3 #เค้กนิ้ง พาไป ศาลเจ้าพ่อเสือ ขอพรสิ่งศักดิ์สิทธิ์ในเรื่องต่างๆ พร้อมเดินถ่ายรูปเล่นกันชิลๆ Facebook >>> https://www.facebook.com/CH3Thailand/videos/334192197201236/ Youtube: Ch3Thailand >>> https://www.youtube.com/watch?v=IeYkMG77TYc #ซีรีส์ลูกผู้ชาย #ปัทม์ #ช่อง33 #Ch3Thailand",157,8,0,"Empty DataFrame
Columns: []
Index: []"
187,1282973728458676_2088516514571056,1552556556,https://www.facebook.com/CH3Thailand/videos/391431934987681/,"""ไม่ได้ๆ รุ่นใหญ่ใจต้องนิ่ง"" แม่ชบาหึงผัวมากเลยนะคะ 😆😆 รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",3339,84,17,"                                                  id        time  \
0  Y29tbWVudDoyMDg4NTE2NTE0NTcxMDU2XzIwODg1ODk5Mz...  1552561591   
1  Y29tbWVudDoyMDg4NTE2NTE0NTcxMDU2XzIwODg1NDQ0Nz...  1552558445   

                                             message  like  
0  ชบาเอ้ยชบาสาบานว่านี่ชบาไม่ใช่คิมมี่😜😜😜😜😜😜😜😜😜ค...     4  
1                    รุ่นใหญ่ใจต้องนิ่ง555ชบาหึงงงงง     5  "
188,1282973728458676_2088487194573988,1552554435,https://www.facebook.com/CH3Thailand/videos/272214247003684/,"""แล้วทำไมข้าต้องกลัวเอ็งโกรธด้วยวะ"" พ่อกล้ารักเขาแล้วก็ไม่ยอมบอกไปตรงๆ 😍😍 รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",4010,50,27,"                                                  id        time  \
0  Y29tbWVudDoyMDg4NDg3MTk0NTczOTg4XzIwODg0OTAwNz...  1552554645   
1  Y29tbWVudDoyMDg4NDg3MTk0NTczOTg4XzIwODk3MTI2NT...  1552626643   

                          message  like  
0                  ชอบคู่นี้มากกก     9  
1  น่ารักผู้หญิงหน้าเหมือนฐิสาเลย     0  "
189,1282973728458676_2088452807910760,1552552380,https://www.facebook.com/CH3Thailand/videos/386410512180818/,"""ชอบโต๊ะคันฉ่องที่ข้าทำให้ไหม"" ทองเอกง้อเมียได้น่ารักจริงๆ 😍😍 ที่สำคัญในที่สุดเราก็ได้เห็นบ้านแม่ชงโคแล้ว รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",5016,128,20,"                                                  id        time  \
0  Y29tbWVudDoyMDg4NDUyODA3OTEwNzYwXzIwOTQ0ODI5Mj...  1552919472   
1  Y29tbWVudDoyMDg4NDUyODA3OTEwNzYwXzIwODg1MDk3Nz...  1552555969   

                         message  like  
0  Kad Siraneeมึงเจอบ้านชงโคแล้ว     1  
1     ใช่ได้เห็นบ้านแม่ชงโคสักที     7  "
190,1282973728458676_2088418011247573,1552550401,https://www.facebook.com/CH3Thailand/videos/2042598482704547/,ภาพบรรยากาศงานแถลงข่าว เกาหลีไทย โปรวอลเลย์บอลออลสตาร์ ซูเปอร์แมตช์ 2019 เตรียมตัวเชียร์กันให้สนั่นทั้งแฟนๆนครราชสีมา และกรุงเทพมหานคร พร้อมชมการถ่ายทอดสดทาง #ช่อง33 ในวันที่ 5 เมษายน เวลา 11.55 น. และวันที่ 7 เมษายน เวลา 14.45 น. #ตบช่วยชาติยกกำลัง3 #supermatch2019,130,6,0,"Empty DataFrame
Columns: []
Index: []"
191,1282973728458676_2088405444582163,1552548840,https://www.facebook.com/CH3Thailand/videos/2525933494145916/,"""แม่ครับนี่บ้านเขา"" ครอบครัวนี้ฮาได้ตลอดเวลาจริงๆ 😆😆 รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",24091,405,81,"                                                  id        time  \
0  Y29tbWVudDoyMDg4NDA1NDQ0NTgyMTYzXzIwODk0NjA4Mj...  1552609310   
1  Y29tbWVudDoyMDg4NDA1NDQ0NTgyMTYzXzIwODg0NjM0Mz...  1552552557   

                                             message  like  
0  พ่อพูดอย่างกับว่าพ่อช่วยเเม่ทำงานบ้านงั้นเเหละ555    41  
1  เจอแม่เยื้อนคนเดียวก็ฮาขี้แตกและเสริมด้วยพ่อตา...    14  "
192,1282973728458676_2088365677919473,1552547400,https://www.facebook.com/CH3Thailand/posts/2088365677919473,โรคห่าเป็นอย่างไร และในอดีตทำคนตายไปมากมายแค่ไหน เข้ามาดูกันค่ะ http://www.ch3thailand.com/news/scoop/16306 ติดตาม “ทองเอก หมอยา ท่าโฉลง” ทุกวันพุธ-พฤหัสบดี เวลา 20.20 น. ช่อง 33,5946,64,19,"                                                  id        time  \
0  Y29tbWVudDoyMDg4MzY1Njc3OTE5NDczXzIwODk2NDgxNT...  1552621969   
1  Y29tbWVudDoyMDg4MzY1Njc3OTE5NDczXzIwODg0MDYyNj...  1552548300   

                                             message  like  
0  มาริโอ้ร้องไห้ได้น่าสงสารมากเมื่อคืน..น้ำตาไหล...     4  
1  โรคห่าสมัยก่อน ก่อให้เกิดตำนานแร้งวัดสระเกษ เป...     8  "
193,1282973728458676_2088362517919789,1552545401,https://www.facebook.com/CH3Thailand/videos/2096469180388190/,"""คนสยามนี่ตลกดีนะคะ แค่เป็นพี่น้องกันก็ขำด้วย"" ชงโค ออกนอกหน้ามากเลยนะคะ 😆😆 รับชมละครย้อนหลัง ทองเอก หมอยา ท่าโฉลง EP.12 ได้ที่ลิงก์นี้ค่ะ http://www.ch3thailand.com/news/scoop/16305 #ทองเอกหมอยาท่าโฉลง #Ch3Thailand",16243,329,50,"                                                  id        time  \
0  Y29tbWVudDoyMDg4MzYyNTE3OTE5Nzg5XzIwOTgzMDg4MD...  1553161270   
1  Y29tbWVudDoyMDg4MzYyNTE3OTE5Nzg5XzIwODg2MjE5OT...  1552563838   

                                             message  like  
0  Sira Lekแอร๊ยยยยส์ เธ๊อๆๆๆ  ดูจิ๊ ใครมา น่าร๊า...     1  
1                              พรีเซนเตอร์มาครบทีม!!    39  "
194,1282973728458676_2088317834590924,1552543268,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703/2088317664590941/?type=3,การต่อสู้กับ “โรคห่า” ยกแรก! เริ่มขึ้นแล้ว ชม #ทองเอกหมอยาท่าโฉลง ย้อนหลังที่แรกก่อนใคร คลิก👉 http://bit.ly/2Cn8I5r #MelloThailand #Ch3Thailand,1123,21,8,"                                                  id        time  \
0  Y29tbWVudDoyMDg4MzE3ODM0NTkwOTI0XzIwOTAwNDQ4Nz...  1552648806   

         message  like  
0  ไปกันใหญ่แล้ว     0  "
